density,config,reshape_factor,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
medium,1024x1024_reshape2_pes20,2,20,0,3,125.93634999984715,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape2_pes20,2,20,0,4,125.9324000000106,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape2_pes20,2,20,0,5,125.93444999993153,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape2_pes20,2,20,1,1,213.79860000001827,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape2_pes20,2,20,1,2,213.86243999995713,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape2_pes20,2,20,1,3,213.8045400001829,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape2_pes20,2,20,1,4,213.79406000005474,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape2_pes20,2,20,1,5,213.7955900000179,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape4_pes20,4,20,0,1,119.19236999983696,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape4_pes20,4,20,0,2,119.18996999997944,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape4_pes20,4,20,0,3,119.18388000003688,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape4_pes20,4,20,0,4,119.19072999990021,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape4_pes20,4,20,0,5,119.19041999999536,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape4_pes20,4,20,1,1,202.98999000010554,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape4_pes20,4,20,1,2,203.03501000012147,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape4_pes20,4,20,1,3,203.0015000000276,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape4_pes20,4,20,1,4,202.99743000009585,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape4_pes20,4,20,1,5,202.99294999995254,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape8_pes20,8,20,0,1,116.07127000002038,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape8_pes20,8,20,0,2,116.08589999991636,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape8_pes20,8,20,0,3,116.06856999992488,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape8_pes20,8,20,0,4,116.06286999995064,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
