density,config,tile_size,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
medium,32768x32768_reshape8_pes6,32768,6,0,1,7702.37345999999,1,2.1181324e-05,215,257,0.015032768249511719,0.001748036127537489
medium,32768x32768_reshape8_pes8,32768,8,0,1,6660.861239999804,1,6.0589887e-06,230,279,0.011006355285644531,0.0011587796034291387
medium,32768x32768_reshape8_pes12,32768,12,0,1,6614.736079999921,1,2.0374431e-05,220,260,0.0131683349609375,0.0018031394574791193
high,1024x1024_reshape1_pes16,1024,16,0,1,71899.87967000002,1,5.9668317e-05,885,919,0.013408064842224121,0.0019839368760585785
high,1024x1024_reshape1_pes20,1024,20,0,1,71873.01593000007,1,5.966937e-05,885,919,0.013405799865722656,0.001984034199267626
high,1024x1024_reshape1_pes30,1024,30,0,1,72328.96333999997,1,5.967542e-05,885,919,0.01340794563293457,0.001994752325117588
high,1024x1024_reshape8_pes16,1024,16,0,1,75291.5858199999,1,5.9668317e-05,885,919,0.013408064842224121,0.0019839368760585785
high,1024x1024_reshape8_pes20,1024,20,0,1,75293.23246000013,1,5.966937e-05,885,919,0.013405799865722656,0.001984034199267626
high,1024x1024_reshape8_pes30,1024,30,0,1,75715.91704999992,1,5.967542e-05,885,919,0.01340794563293457,0.001994752325117588
high,4096x4096_reshape1_pes16,4096,16,0,1,25823.170180000034,1,5.9667498e-05,885,919,0.01340484619140625,0.0019862111657857895
high,4096x4096_reshape1_pes20,4096,20,0,1,22847.891959999743,1,5.9672377e-05,885,919,0.013398885726928711,0.001990299904718995
high,4096x4096_reshape1_pes30,4096,30,0,1,22176.10036999986,1,5.9672744e-05,885,919,0.013412833213806152,0.001988533418625593
high,4096x4096_reshape8_pes16,4096,16,0,1,28400.082969999858,1,5.9667498e-05,885,919,0.01340484619140625,0.0019862111657857895
high,4096x4096_reshape8_pes20,4096,20,0,1,25425.137169999743,1,5.9672377e-05,885,919,0.013398885726928711,0.001990299904718995
high,4096x4096_reshape8_pes30,4096,30,0,1,25097.108829999797,1,5.9672744e-05,885,919,0.013412833213806152,0.001988533418625593
high,8192x8192_reshape1_pes16,8192,16,0,1,23563.40708000016,1,5.9671882e-05,885,919,0.013408780097961426,0.001991874072700739
high,8192x8192_reshape1_pes20,8192,20,0,1,20548.724599999787,1,5.967148e-05,885,919,0.013399481773376465,0.001988578587770462
high,8192x8192_reshape1_pes30,8192,30,0,1,18048.483550000128,1,5.9672915e-05,885,919,0.013421416282653809,0.001988660078495741
high,8192x8192_reshape8_pes16,8192,16,0,1,26090.269420000368,1,5.9671882e-05,885,919,0.013408780097961426,0.001991874072700739
high,8192x8192_reshape8_pes20,8192,20,0,1,23092.031619999943,1,5.967148e-05,885,919,0.013399481773376465,0.001988578587770462
high,8192x8192_reshape8_pes30,8192,30,0,1,20982.078459999684,1,5.9672915e-05,885,919,0.013421416282653809,0.001988660078495741
